frame,gt_x,gt_y,gt_w,gt_h,upd_x,upd_y,upd_w,upd_h,upd_iou,upd_err,pure_x,pure_y,pure_w,pure_h,pure_iou,pure_err,apce,apce_norm,kf_trace,kf_uncert,kf_r,accept,meas_x,meas_y,kf_pred_x,kf_pred_y,kf_corr_x,kf_corr_y,innov,innov_thresh,search_scale
0,305,4,95,65,305,4,95,65,1,0,305,4,95,65,1,0,200.693,0,0.975622,0,0.5,1,352.473,36.5861,352.5,36.5,352.474,36.584,0.0901021,50.25,1
1,312,14,98,70,307,22,97,66,0.754697,8.13941,307,21,97,66,0.776319,7.43303,68.3412,0,0.924355,0,0.5,1,355.151,54.7004,352.461,36.626,354.947,53.3332,18.2735,50.25,1
2,317,39,95,66,308,40,105,72,0.806662,5.65685,312,45,95,65,0.766501,7.43303,34.3358,0,0.803847,0,0.5,1,360.516,76.0961,357.119,68.0544,359.849,74.5187,8.72955,50.25,1
3,325,73,96,58,315,73,103,70,0.730498,8.8459,317,73,97,66,0.758226,8.5,67.3763,0.198612,0.687163,0,0.5,1,366.298,108.002,363.581,92.9335,365.448,103.288,15.3119,50.25,1
4,329,104,100,64,321,103,107,73,0.804571,5.70088,324,106,97,66,0.803607,7.15891,62.8561,0.171441,0.595463,0,0.5,1,374.353,139.251,369.956,126.009,372.574,133.894,13.9532,50.25,1
5,334,134,90,66,325,136,105,72,0.744186,5.22015,328,138,99,68,0.786802,5.22015,34.8804,0.00327381,0.524651,0,0.5,1,377.871,172.354,377.934,159.181,377.901,166.092,13.173,50.25,1
6,329,152,94,59,322,155,105,72,0.671257,9.61769,325,156,97,66,0.748573,7.90569,33.2281,0,0.469284,0,0.5,1,374.304,190.398,383.253,193.223,379.053,191.897,9.38416,50.25,1
7,320,145,99,60,315,147,105,72,0.740139,8.24621,319,149,95,65,0.768355,7.15891,19.5056,0,0.425245,0,0.5,1,367.453,183.311,383.456,218.729,376.651,203.667,38.8661,50.25,1
8,316,123,93,55,311,124,105,72,0.656213,9.55249,311,122,103,70,0.709431,6.5,8.01149,0,0.638393,0.38727,5,0,362.975,159.636,379.724,227.554,379.724,227.554,69.9533,50.25,1.03873
9,318,95,89,62,307,173,105,72,0,83.0542,310,98,99,68,0.75025,6.7082,6.62788,0,0.475202,0.0907672,0.5,1,359.451,208.479,382.796,251.441,371.702,231.025,48.8956,50.25,1.00908
10,305,74,85,56,272,199,105,72,0,134.974,301,74,95,65,0.77085,4.60977,14.9704,0.0429884,0.656505,0.420177,5,0,324.472,234.647,373.096,251.822,373.096,251.822,51.5683,50.25,1.04202
11,277,54,90,56,292,191,105,72,0,146.735,275,55,95,65,0.790104,5.52268,14.3797,0.0399445,0.872837,0.813231,5,0,344.392,227.378,374.489,272.618,374.489,272.618,54.3359,50.25,1.08132
12,252,43,91,63,280,193,105,72,0,158.415,250,44,95,65,0.900415,2,10.2447,0.018637,1.1246,0.999986,5,0,332.703,228.599,375.882,293.414,375.882,293.414,77.8807,50.25,1.1
13,235,37,81,59,356,212,105,72,0,225.014,232,37,97,66,0.746485,6.10328,9.58154,0.0152199,1.41218,0.99999,5,0,408.534,248.155,377.275,314.21,377.275,314.21,73.0773,50.25,1.1
14,220,34,79,58,322,338,105,72,0,331.581,216,31,95,65,0.742024,4.03113,6.99412,0.00188717,0.634503,0.212025,0.5,1,374.115,374.351,378.668,335.006,375.779,359.971,39.608,50.25,1.0212
15,211,32,82,60,296,361,109,75,0,350.62,206,34,93,64,0.777632,4.03113,12.5361,0.0304448,0.438563,0.0134939,0.5,1,350.714,397.883,376.904,383.082,365.418,389.573,30.0829,50.25,1.00135
16,203,38,88,60,339,362,107,73,0,361.11,205,40,91,62,0.84058,4.60977,12.6604,0.0310851,0.351172,0,0.5,1,392.516,399,365.547,413.248,375.018,408.244,30.5016,50.25,1
17,205,53,88,56,318,361,107,73,0,339.38,204,52,93,64,0.827957,3.3541,13.854,0.0372357,0.302911,0,0.5,1,371.862,398.045,375.927,431.507,374.695,421.371,33.7075,50.25,1
18,215,64,94,64,289,362,107,73,0,313.028,211,70,95,65,0.763489,7.38241,11.0592,0.022834,0.375735,0.0656491,5,0,342.491,399,375.507,443.831,375.507,443.831,55.6762,50.25,1.00656
19,223,91,93,62,324,362,107,73,0,296.844,220,92,95,65,0.886712,3.20156,9.67763,0.0157151,0.45844,0.140207,5,0,377.254,399,376.319,466.29,376.319,466.29,67.2968,50.25,1.01402
20,235,114,89,63,370,362,107,73,0,291.11,232,117,91,62,0.88457,3.20156,9.56621,0.015141,0.551428,0.224034,5,0,423.881,399,377.13,488.75,377.13,488.75,101.196,50.25,1.0224
21,251,137,94,58,371,362,107,73,0,264.686,244,137,88,60,0.778588,10.0499,3.82415,0,0.655098,0.31749,5,0,424.419,399,377.942,511.21,377.942,511.21,121.454,50.25,1.03175
22,258,142,89,51,422,362,107,73,0,288.6,253,135,84,58,0.748606,8.27647,4.20121,0.00191528,0.76985,0.420937,5,0,475.877,399,378.754,533.669,378.754,533.669,166.039,50.25,1.04209
23,266,113,86,53,348,362,107,73,0,275.022,263,115,83,57,0.78326,6.0208,4.44369,0.00314694,0.896084,0.534735,5,0,401.921,399,379.565,556.129,379.565,556.129,158.711,50.25,1.05347
24,278,84,82,51,394,362,107,73,0,316.28,275,82,84,58,0.839122,2.5,7.10125,0.0166462,1.0342,0.659244,5,0,447.482,399,380.377,578.588,380.377,578.588,191.716,50.25,1.06592
25,288,65,83,52,328,362,107,73,0,311.866,285,62,86,59,0.850611,1.58114,0,0,1.1846,0.794826,5,0,381.189,601.048,381.189,601.048,381.189,601.048,0,50.25,1.1
26,284,47,84,49,329,362,107,73,0,331.845,281,45,86,59,0.793871,3.60555,0,0,1.34768,0.94184,5,0,382,623.508,382,623.508,382,623.508,0,50.25,1.1
27,268,31,89,52,329,362,107,73,0,348.6,266,31,84,58,0.814362,5.40833,0,0,1.52384,0.999992,5,0,382.812,645.967,382.812,645.967,382.812,645.967,0,50.25,1.1
28,245,25,86,54,330,362,107,73,0,359.42,248,26,81,55,0.893258,1.58114,0,0,1.71349,0.999993,5,0,383.623,668.427,383.623,668.427,383.623,668.427,0,50.25,1.1
29,240,23,87,54,331,362,107,73,0,362.841,243,23,79,54,0.908046,1,0,0,1.91701,0.999994,5,0,384.435,690.886,384.435,690.886,384.435,690.886,0,50.25,1.1
30,237,23,86,54,332,362,107,73,0,364.119,238,22,81,55,0.925714,1.58114,0,0,2.13482,0.999995,5,0,385.247,713.346,385.247,713.346,385.247,713.346,0,50.25,1.1
31,242,25,85,60,333,362,107,73,0,358.324,242,27,83,57,0.927647,1.11803,0,0,2.36731,0.999995,5,0,386.058,735.805,386.058,735.805,386.058,735.805,0,50.25,1.1
32,252,33,85,58,333,362,107,73,0,348.85,250,36,86,59,0.858098,3.80789,0,0,2.61489,0.999996,5,0,386.87,758.265,386.87,758.265,386.87,758.265,0,50.25,1.1
33,270,48,85,56,334,362,107,73,0,331.106,263,50,86,59,0.766164,7.38241,0,0,2.87794,0.999996,5,0,387.682,780.725,387.682,780.725,387.682,780.725,0,50.25,1.1
34,284,68,84,60,335,362,107,73,0,306.931,278,71,88,60,0.827843,5,0,0,3.15688,0.999996,5,0,388.493,803.184,388.493,803.184,388.493,803.184,0,50.25,1.1
35,311,100,81,55,336,362,107,73,0,273.651,303,99,86,59,0.818859,5.59017,0,0,3.4521,0.999997,5,0,389.305,825.644,389.305,825.644,389.305,825.644,0,50.25,1.1
36,337,126,85,59,337,362,107,73,0,243.249,331,128,84,58,0.817129,6.67083,0,0,3.764,0.999997,5,0,390.117,848.103,390.117,848.103,390.117,848.103,0,50.25,1.1
37,353,157,87,54,337,362,107,73,0,214.584,353,159,84,58,0.839677,4.272,0,0,4.09298,0.999997,5,0,390.928,870.563,390.928,870.563,390.928,870.563,0,50.25,1.1
