frame,gt_x,gt_y,gt_w,gt_h,upd_x,upd_y,upd_w,upd_h,upd_iou,upd_err,pure_x,pure_y,pure_w,pure_h,pure_iou,pure_err,apce,apce_norm,kf_trace,kf_uncert,kf_r,accept,meas_x,meas_y,kf_pred_x,kf_pred_y,kf_corr_x,kf_corr_y,innov,innov_thresh,search_scale
0,69,50,107,87,69,50,107,87,1,0,69,50,107,87,1,0,211.331,0,0.975622,0,0.5,1,122.615,93.4709,122.5,93.5,122.612,93.4716,0.118915,55.65,1
1,69,50,107,87,72,53,103,84,0.929423,1.80278,74,55,101,82,0.889677,3.20156,47.9826,0,0.924355,0,0.5,1,123.055,94.4197,122.669,93.4574,123.026,94.3469,1.03708,55.65,1
2,69,50,107,87,68,52,101,82,0.873176,4.03113,64,51,107,87,0.89092,5.09902,30.6949,0,0.803847,0,0.5,1,118.32,92.9043,123.396,95.1143,119.316,93.3378,5.53598,55.65,1
3,69,50,107,87,67,49,107,87,0.941802,2.23607,73,55,101,82,0.889677,2.69258,37.6488,0.0384968,0.687163,0,0.5,1,120.322,92.8352,117.355,93.0901,119.394,92.9149,2.97836,55.65,1
4,69,50,107,87,66,52,105,85,0.906524,4.12311,69,56,97,79,0.823182,5.38516,52.3374,0.119813,0.595463,0,0.5,1,118.008,94.4466,118.281,92.5944,118.118,93.6973,1.87209,55.65,1
5,69,50,105,87,65,50,105,85,0.906069,4.12311,65,55,97,79,0.777378,8.06226,85.5056,0.303431,0.524651,0,0.5,1,117.149,93.0545,116.952,93.7357,117.056,93.3783,0.708975,55.65,1
6,69,50,105,87,65,50,109,89,0.941655,2.23607,68,57,99,80,0.850787,5.31507,42.0016,0.062594,0.469284,0,0.5,1,119.633,94.3708,115.917,93.3214,117.661,93.8139,3.86174,55.65,1
7,69,50,103,87,60,50,111,91,0.871025,5.38516,61,56,101,82,0.775798,9.6566,45.1464,0.0800032,0.425245,0,0.5,1,115.298,95.0343,116.916,93.8681,116.228,94.364,1.99464,55.65,1
8,67,52,103,82,59,49,114,92,0.805301,3.20156,64,57,97,79,0.815917,6.94622,53.1919,0.124543,0.389646,0,0.5,1,116.257,95.0751,115.349,94.5152,115.703,94.7334,1.06732,55.65,1
9,67,52,103,82,57,49,116,94,0.774578,4.60977,62,58,97,79,0.766919,9.17878,41.2614,0.058496,0.360462,0,0.5,1,115.16,95.9755,114.885,94.9222,114.984,95.3019,1.08865,55.65,1
10,67,52,103,82,54,47,120,98,0.718197,5.40833,60,56,103,84,0.779188,8.60233,37.6073,0.038267,0.336254,0,0.5,1,114.018,96.1052,114.181,95.5492,114.126,95.7361,0.579298,55.65,1
11,64,49,104,88,56,46,120,98,0.778231,2,60,53,105,85,0.884395,4.30116,29.83,0,0.315977,0,0.5,1,116.529,94.7721,113.315,96.0095,114.331,95.6185,3.44352,55.65,1
12,63,50,105,84,55,47,120,98,0.75,4.03113,58,52,107,87,0.856528,5.31507,53.6764,0.131384,0.298856,0,0.5,1,115.7,95.7876,113.649,95.842,114.262,95.8258,2.05124,55.65,1
13,65,53,101,81,54,46,120,98,0.695663,2.12132,60,53,105,85,0.8994,3.60555,37.0251,0.0396419,0.284307,0,0.5,1,114.724,94.8187,113.653,96.0474,113.957,95.6981,1.62977,55.65,1
14,62,54,105,79,54,46,123,100,0.67439,2.69258,59,55,103,84,0.852739,5.31507,56.7527,0.148334,0.27188,0,0.5,1,115.172,96.335,113.381,95.8816,113.868,96.0049,1.84759,55.65,1
15,60,50,110,85,52,45,123,100,0.760163,2.91548,58,54,103,84,0.833011,6.5192,39.5356,0.0534738,0.261226,0,0.5,1,113.454,94.5847,113.341,96.201,113.371,95.7788,1.62027,55.65,1
16,60,52,107,83,52,46,123,100,0.722033,2.5,59,55,101,82,0.873077,4.71699,47.7067,0.0984938,0.252063,0,0.5,1,113.235,96.1602,112.847,95.9344,112.945,95.9913,0.449092,55.65,1
17,62,50,105,88,53,45,120,98,0.785714,1.5,61,56,97,79,0.813821,5.22015,52.0312,0.12232,0.244169,0,0.5,1,113.019,94.419,112.43,96.152,112.574,95.7289,1.83032,55.65,1
18,63,51,102,84,52,48,120,98,0.728571,4.47214,59,56,101,82,0.834113,6.0208,61.7125,0.17566,0.237358,0,0.5,1,111.759,96.5334,112.072,95.8529,111.997,96.0144,0.748856,55.65,1
19,62,53,104,83,51,46,120,98,0.734014,3.04138,56,55,101,82,0.834689,7.64853,47.9994,0.100106,0.231479,0,0.5,1,111.057,94.9906,111.489,96.1519,111.389,95.8831,1.23904,55.65,1
20,59,53,109,82,52,48,120,98,0.760034,3.3541,60,57,97,79,0.83741,5.59017,53.1801,0.12865,0.226406,0,0.5,1,112.076,96.6084,110.872,95.999,111.145,96.137,1.3488,55.65,1
21,63,54,100,79,52,47,118,96,0.697387,2.5,56,55,101,82,0.828475,6.96419,41.6716,0.0652426,0.22203,0,0.5,1,111.207,94.5581,110.649,96.2636,110.773,95.8849,1.79442,55.65,1
22,61,54,104,83,51,48,118,96,0.762006,3.04138,59,57,97,79,0.853811,5.59017,52.3504,0.124079,0.21826,0,0.5,1,110.364,95.6646,110.287,95.9831,110.304,95.9136,0.327788,55.65,1
23,62,52,101,81,53,48,114,92,0.780034,2.91548,55,55,103,84,0.801284,7.5,50.4184,0.113434,0.215017,0,0.5,1,110.201,93.9639,109.819,96.0066,109.901,95.5674,2.07806,55.65,1
24,61,55,101,77,52,50,111,91,0.769924,4.47214,54,53,105,85,0.824159,5.38516,41.0011,0.0615481,0.212232,0,0.5,1,108.146,94.8547,109.422,95.6289,109.151,95.4646,1.49283,55.65,1
25,61,53,103,80,52,49,114,92,0.78566,4.03113,57,55,101,82,0.844797,5.83095,42.2745,0.0685642,0.209847,0,0.5,1,108.297,95.0643,108.653,95.5146,108.578,95.4201,0.57408,55.65,1
26,62,53,100,79,52,47,114,92,0.753242,3.04138,56,54,101,82,0.844733,6.04152,42.7664,0.0712746,0.20781,0,0.5,1,109.096,92.7917,108.075,95.4635,108.287,94.9083,2.86015,55.65,1
27,62,54,102,80,54,49,109,89,0.826091,4.52769,55,55,101,82,0.823647,7.76209,46.7428,0.0931827,0.206073,0,0.5,1,108.179,93.8502,107.799,94.9137,107.877,94.6946,1.12941,55.65,1
28,64,55,96,77,53,50,109,89,0.761983,4.60977,54,54,103,84,0.806147,6.96419,35.918,0.0335424,0.204598,0,0.5,1,107.399,94.2952,107.393,94.6852,107.395,94.6054,0.390065,55.65,1
