frame,gt_x,gt_y,gt_w,gt_h,upd_x,upd_y,upd_w,upd_h,upd_iou,upd_err,pure_x,pure_y,pure_w,pure_h,pure_iou,pure_err,apce,apce_norm,kf_trace,kf_uncert,kf_r,accept,meas_x,meas_y,kf_pred_x,kf_pred_y,kf_corr_x,kf_corr_y,innov,innov_thresh,search_scale
0,249,167,106,105,246,164,110,109,0.928274,1.41421,249,167,106,105,1,0,188.839,0,0.975622,0,0.5,1,301.403,218.594,302,219.5,301.417,218.617,1.08471,55.2,1
1,248,169,106,106,244,167,115,114,0.857056,2.06155,249,169,106,105,0.972136,1.11803,77.3646,0,0.924355,0,0.5,1,301.089,223.972,301.126,218.175,301.092,223.533,5.7971,55.2,1
2,239,178,108,106,235,179,115,114,0.857921,5.02494,240,180,104,103,0.935709,1.11803,65.393,0,0.803847,0,0.5,1,291.968,235.848,300.77,227.8,293.695,234.269,11.9264,55.2,1
3,222,190,107,111,220,194,115,114,0.845694,5.85235,221,196,106,105,0.92013,3.3541,50.1949,0,0.687163,0,0.5,1,277.268,250.415,289.331,242.232,281.042,247.855,14.5765,55.2,1
4,211,208,116,105,217,210,108,107,0.882017,3.60555,213,207,110,109,0.915214,1.41421,101.309,0.368676,0.595463,0,0.5,1,271.209,263.711,273.231,258.156,272.027,261.464,5.91068,55.2,1
5,219,204,111,104,219,202,110,109,0.945924,0.707107,221,207,106,105,0.894552,3.53553,100.847,0.365343,0.524651,0,0.5,1,274.412,257.088,263.824,272.841,269.379,264.576,18.981,55.2,1
6,216,197,114,103,221,195,108,107,0.913751,2,219,195,110,109,0.913562,1.41421,87.088,0.2661,0.469284,0,0.5,1,274.898,248.453,262.658,273.749,268.402,261.878,28.101,55.2,1
7,217,198,112,105,215,194,112,111,0.913621,2.23607,209,192,119,118,0.82385,4.52769,63.464,0.0957065,0.425245,0,0.5,1,270.751,249.423,262.978,268.371,266.283,260.313,20.4804,55.2,1
8,185,205,126,118,186,208,112,111,0.836158,6.0208,187,202,119,118,0.898851,3.3541,24.1804,0,0.389646,0,0.5,1,242.406,263.36,261.506,265.23,254.063,264.502,19.1913,55.2,1
9,149,247,111,105,149,241,115,114,0.889016,2.5,146,244,119,118,0.83001,3.64005,30.8732,0.040647,0.360462,0,0.5,1,206.209,297.345,248.003,269.293,232.938,279.405,50.335,55.2,1
10,172,254,115,107,219,250,110,109,0.416205,44.601,217,242,119,118,0.392033,47.4473,14.3909,0,0.336254,0,0.5,1,273.662,304.76,224.556,285.755,241.068,292.145,52.6551,55.2,1
11,249,219,105,104,249,222,110,109,0.861845,6.04152,240,219,119,118,0.777667,7.28011,60.5878,0.264818,0.461938,0.196572,5,0,304.231,276.631,234.988,299.386,234.988,299.386,72.8859,55.2,1.01966
12,225,204,112,107,228,206,110,109,0.913481,3.60555,225,204,115,114,0.914111,3.80789,70.861,0.323708,0.61174,0.430866,5,0,283.272,260.326,228.908,306.626,228.908,306.626,71.4078,55.2,1.04309
13,219,200,110,108,220,202,110,109,0.938129,2.69258,217,201,110,109,0.938444,2.5,94.3195,0.458181,0.78606,0.703505,5,0,275.428,256.468,222.828,313.866,222.828,313.866,77.8542,55.2,1.07035
14,207,200,111,109,209,200,110,109,0.973214,1.5,209,201,106,105,0.919911,1.11803,82.3861,0.389774,0.985298,0.999985,5,0,264.285,254.525,216.747,321.107,216.747,321.107,81.8101,55.2,1.1
15,190,206,114,107,198,209,110,109,0.837435,7.2111,194,209,106,105,0.895969,2,61.6374,0.270835,1.20985,0.999989,5,0,253.239,263.229,210.667,328.347,210.667,328.347,77.799,55.2,1.1
16,193,215,110,107,198,217,110,109,0.865724,5.83095,194,214,110,109,0.964123,1,68.9485,0.312744,1.46013,0.999991,5,0,253.332,271.248,204.587,335.587,204.587,335.587,80.7191,55.2,1.1
17,199,212,119,105,209,213,110,109,0.862119,6.26498,201,209,112,111,0.893142,1.5,54.1557,0.227947,1.73652,0.999993,5,0,264.453,267.728,198.507,342.827,198.507,342.827,99.9446,55.2,1.1
18,215,174,122,119,222,189,110,109,0.759225,10.0499,217,185,112,111,0.814326,7.61577,22.1808,0.0446546,2.03943,0.999994,5,0,277.44,244.053,192.427,350.068,192.427,350.068,135.892,55.2,1.1
