sequence,frames,auc_update,auc_pure,success50_update,success50_pure,precision20_update,precision20_pure,fps_update,fps_pure,delta_auc
Mhyang,1490,0.5736,0.7941,0.5705,0.9993,1.0000,1.0000,17.3268,16.8797,-0.2205
MotorRolling,164,0.1032,0.1066,0.0732,0.0793,0.0488,0.0549,23.5536,19.7710,-0.0034
MountainBike,228,0.7141,0.5641,1.0000,0.6623,1.0000,1.0000,30.3786,24.2251,0.1500
Panda,1000,0.3650,0.3651,0.3040,0.3010,0.7840,0.7810,18.8445,16.8727,-0.0001
RedTeam,1918,0.5041,0.5175,0.4056,0.6277,1.0000,1.0000,26.3264,22.0966,-0.0134
Rubik,1997,0.4703,0.3704,0.2604,0.1622,0.2744,0.3225,80.7545,47.6778,0.0999
Shaking,365,0.7360,0.0373,0.9342,0.0137,0.9342,0.0137,80.0612,97.5707,0.6987
Singer1,351,0.8509,0.8071,1.0000,1.0000,1.0000,1.0000,13.1192,10.6657,0.0438
Singer2,366,0.0629,0.0599,0.0355,0.0355,0.0355,0.0355,15.2627,14.8896,0.0030
Skater,160,0.6361,0.6131,0.9062,0.8500,0.9812,0.9938,17.6927,17.1350,0.0230
Skater2,435,0.5214,0.5459,0.5310,0.6207,0.6023,0.6414,19.3485,16.6937,-0.0245
Skating1,400,0.2560,0.3182,0.1925,0.4300,0.4475,0.4500,13.6326,16.2586,-0.0622
Skating2_1,473,0.0877,0.3331,0.0655,0.2791,0.1015,0.4059,16.1619,11.3968,-0.2454
Skating2_2,473,0.3968,0.5091,0.3235,0.5560,0.2770,0.4292,18.0076,13.6276,-0.1123
Skiing,81,0.0821,0.0821,0.0617,0.0617,0.0988,0.0988,25.4741,21.5663,-0.0000
Soccer,392,0.1763,0.1765,0.1327,0.1327,0.1352,0.1327,13.0862,11.0813,-0.0002
Subway,175,0.6894,0.6854,0.9886,0.9943,1.0000,1.0000,27.6772,27.4416,0.0040
Surfer,376,0.5168,0.5220,0.4548,0.4521,0.9867,1.0000,21.4190,21.0876,-0.0052
Suv,945,0.7152,0.2373,0.8042,0.0698,0.8000,0.5280,21.8833,21.0012,0.4779
Sylvester,1345,0.6166,0.4024,0.7725,0.1323,0.8647,0.9264,16.4636,15.6305,0.2142
Tiger1,354,0.7138,0.7622,0.9548,0.9746,0.9322,0.9463,23.2577,18.2487,-0.0484
Tiger2,365,0.4404,0.4408,0.3863,0.4082,0.4630,0.4904,32.6906,23.9046,-0.0004
Toy,271,0.3810,0.4183,0.2657,0.4649,0.6494,0.6421,43.0852,38.5009,-0.0373
Trans,124,0.5264,0.5240,0.3871,0.3952,0.3952,0.3710,12.5162,7.1676,0.0024
Trellis,569,0.6417,0.5960,0.9807,0.8436,1.0000,1.0000,14.4510,13.6495,0.0457
Twinnings,472,0.3559,0.7114,0.3538,0.8814,0.4131,0.8898,19.5116,18.9814,-0.3555
Vase,271,0.4022,0.3625,0.2620,0.1845,0.8044,0.6790,21.5471,19.4814,0.0397
Walking,412,0.6306,0.6723,0.8471,0.9782,1.0000,1.0000,24.7243,26.0690,-0.0417
Walking2,500,0.8026,0.8049,1.0000,1.0000,1.0000,1.0000,25.2717,21.6569,-0.0023
Woman,597,0.6966,0.6679,0.9296,0.9179,1.0000,1.0000,22.3175,20.4345,0.0287
OVERALL,58733,0.5183,0.5117,0.5681,0.5693,0.7560,0.7562,26.6481,22.6195,0.0066
